,month,customers,price_cents_per_kwh,revenue_musd,sales_mkwh,energy_consumption_million_mmbtu,public_holidays,saturdays,sundays,weekend_days,holiday_on_weekend,total_off_days,industrial_production_index,temp_avg_f,heating_degree_days,cooling_degree_days,precip_inches,year,month_num
0,2001-01,,6.75,20978.13373,310816.0688,3457.016,1,4,4,8,0,9,92.3103,31.37,33.629999999999995,0.0,1.85,2001,1
1,2001-02,,6.87,18700.12259,272334.73804,2954.85,1,4,4,8,0,9,90.7073,33.96,31.04,0.0,2.21,2001,2
2,2001-03,,7.01,18880.23415,269298.40142,3136.11,1,5,4,9,0,10,90.1859,41.47,23.53,0.0,2.57,2001,3
3,2001-04,,7.02,17855.81312,254390.93545,2903.074,4,4,5,9,0,13,90.0483,53.08,11.920000000000002,0.0,2.1,2001,4
4,2001-05,,7.17,18969.93109,264490.49166,3146.466,0,4,4,8,0,8,89.5741,62.8,2.200000000000003,0.0,2.78,2001,5
5,2001-06,,7.58,21976.8956,290008.13859,3432.521,1,5,4,9,0,10,89.8069,69.21,0.0,4.209999999999994,3.12,2001,6
6,2001-07,,7.88,24876.32313,315798.05444,3742.607,0,4,5,9,0,9,87.8554,74.44,0.0,9.439999999999998,2.72,2001,7
7,2001-08,,7.84,26037.36749,332192.65242,3880.737,2,4,4,8,1,9,90.0732,74.28,0.0,9.280000000000001,2.41,2001,8
8,2001-09,,7.62,22563.73846,295925.25273,3220.083,0,5,5,10,0,10,88.2173,65.68,0.0,0.6800000000000068,2.45,2001,9
9,2001-10,,7.43,19879.34946,267558.79557,3060.9,2,4,4,8,0,10,89.0316,54.36,10.64,0.0,2.06,2001,10
10,2001-11,,7.02,17753.86226,253033.66362,2896.523,2,4,4,8,0,10,88.3494,47.39,17.61,0.0,2.39,2001,11
11,2001-12,,7.03,18871.32391,268610.91126,3167.853,2,5,5,10,0,12,86.9558,36.12,28.880000000000003,0.0,2.36,2001,12
12,2002-01,,6.95,20217.29926,290967.48001,3304.433,1,4,4,8,1,8,88.601,34.48,30.520000000000003,0.0,2.01,2002,1
13,2002-02,,6.97,18383.34332,263728.26311,2901.046,1,4,4,8,1,8,88.9331,36.39,28.61,0.0,1.32,2002,2
14,2002-03,,6.95,18583.6763,267459.80047,3118.926,3,5,5,10,1,12,90.8936,39.54,25.46,0.0,2.59,2002,3
15,2002-04,,6.95,17939.61888,257946.37508,2996.924,1,4,4,8,0,9,93.0051,53.49,11.509999999999998,0.0,2.26,2002,4
16,2002-05,,7.11,19144.39654,269323.29396,3191.64,2,4,4,8,2,8,92.0586,59.27,5.729999999999997,0.0,2.64,2002,5
17,2002-06,,7.45,22076.71313,296469.77249,3545.081,0,5,5,10,0,10,92.413,70.84,0.0,5.840000000000003,2.56,2002,6
18,2002-07,,7.68,25912.79949,337284.67683,3974.635,0,4,4,8,0,8,93.7183,75.83,0.0,10.829999999999998,2.6,2002,7
19,2002-08,,7.58,25633.26295,338114.51829,3889.033,2,5,4,9,1,10,91.6322,72.82,0.0,7.819999999999993,2.4,2002,8
20,2002-09,,7.36,22856.15985,310497.88323,3418.89,0,4,5,9,0,9,93.6312,66.83,0.0,1.8299999999999983,2.72,2002,9
21,2002-10,,7.2,20458.6133,284177.96223,3177.406,2,4,4,8,0,10,93.926,51.82,13.18,0.0,3.01,2002,10
